Object1,Object2,Distance,Collision
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7101470073759211,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5202892222508618,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7633029283316888,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.536881549421355,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9848943031855449,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8397314635891961,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.3528712375977268,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8383047554444705,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6837723738392506,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9515913840057028,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9906156632705307,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7023186505637118,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8584812889872641,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8853603989406093,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9890437380033816,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9962440825732282,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6597775358198285,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8974670446637657,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9311087271771668,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9653967794873679,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9174379230347322,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9350560361908912,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9021623354305165,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6549857770087487,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9675620648374117,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5916983435471187,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9962922661959005,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9507830500404995,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8818744887289547,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9600488531583088,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9473694729046117,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5872833598294236,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5287199570365765,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7755089620238237,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.4631398037278548,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7217200001673695,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9279909526766794,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9770914414987771,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6604762099096353,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8152601324780301,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8149468189497183,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6866062003098408,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7663374978703651,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9907488944029414,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.963891723032491,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8150560794752388,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8116187563140699,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5851294056583922,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8885082250748638,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.798642299033008,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7761799477941148,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9753438315725345,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9906633518288573,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9827061034312576,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.762059043937433,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8178852951446576,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8700119577185592,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9562610159794196,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9893299644774403,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8784947448734476,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.748436798690437,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7935677137571627,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8151994736628759,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9203636832178529,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.4205834879143978,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9051851839235047,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5962013137792865,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7902316032791944,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9598802183966602,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8616406572932346,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8452259722136811,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8791466032019679,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9769441587208231,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.18126601805414147,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.941885940913474,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8203244472986002,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7037867566068542,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.926504355618902,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.412499908688267,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8433970183682056,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7221214768718641,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9949929325691275,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.897325938284034,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8478216203335185,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7745350936613222,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7104165658507946,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8340252794934035,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8929560819467601,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9720743324540677,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9622135769990037,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9656528540811288,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8758967536663577,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.37368701579132707,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.681781651918839,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.38070965199981643,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.4219042527424034,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.2907711668216221,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6189212789877402,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8989634307373552,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7245042123924121,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9816672991395334,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9778987622780262,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6644925292224001,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.662244997876459,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.988324093274847,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8032376313541226,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8823790480274155,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.993786689088374,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9173263770146637,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9504500405414256,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9946502845302703,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.30862464060005884,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.39935577545309625,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5871366727125551,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5316781416905566,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7984038820280746,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.394971831567889,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.788999332367548,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9008817133724658,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9409916854898854,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9456666967096031,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9872388834981182,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9654831728545838,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8306706413578003,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.988289971040483,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.949704700934805,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9780078224329438,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8859596929659866,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7908432575604423,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6770788139253012,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9025104211391768,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6511225168122021,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8569766381318243,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9735418073966239,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9965149407703578,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8693956091282209,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.4835711825608357,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9951503080191485,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7589830206232219,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8238502735633875,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7215737230314657,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6014889053643521,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5298503262226931,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8365813214627217,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9245622231846156,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7951766468001202,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9965110823603096,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9643768790227044,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9423044750034857,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6661744417080816,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8298755389313272,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.19673490410985628,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6901065672799253,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8878633701139388,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.4005602464006504,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5645380139722957,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5720150607878549,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7070266488970899,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7780496861842747,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.832188782626386,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9517986827951396,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9314977770880183,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.534340547715659,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5857326104658066,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5424228465599032,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.5470556132118548,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9375544585185135,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.87260328862113,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6441925870958624,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8371347034481748,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8804320777798129,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9746078688775034,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7610120439276686,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8305659492426186,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9743229522688942,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7111528286547544,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9401802963261024,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.7787231559874344,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.6681818726127359,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8216002197551995,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9138940107520748,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8535432877730582,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9874187330141494,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9970756395157806,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.8075432465283308,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.47324896120312426,True
FENGYUN 1C DEB,FENGYUN 1C DEB,0.9887049068885767,True
